Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0022241
Sensor,S401C
Sensor SN,1911562
Sensor Type,Thermopile
Wavelength,1030 nm
Range,Auto

Start of Measurement,5/27/2026 17:41:32
Elapsed Time,00:00:19:989
Samples,3497

--Statistics--
Minimum [W],0.00085005
Maximum [W],0.00086843
Mean [W],0.00086007
Standard Deviation [W],3.6785E-06
Ratio,1.022 : 1

--Graph Data--
Time (ms),Power (W)
1817.625,0.00086157
1820.752,0.00086133
1823.639,0.00086182
1826.644,0.00086182
1829.695,0.00086059
1832.642,0.00086157
1835.641,0.00086059
1838.639,0.0008628
1868.502,0.00086206
1872.424,0.00086084
1875.304,0.0008601
1878.412,0.00086182
1881.569,0.00086255
1884.747,0.00086133
1888.079,0.00086059
1920.205,0.00086329
1924.169,0.00086231
1927.229,0.00086157
1930.489,0.00086329
1933.288,0.00086182
1936.335,0.00086157
1939.319,0.00086084
1968.816,0.00086402
1972.279,0.00086133
1975.928,0.00086133
1978.952,0.0008628
1981.902,0.00086231
1984.952,0.0008628
1988.017,0.00086304
2018.477,0.00086427
2022.074,0.00086206
2025.030,0.00086182
2028.033,0.00086157
2031.712,0.00086304
2034.656,0.00086329
2038.271,0.00086182
2067.686,0.00086206
2071.103,0.00086378
2074.038,0.00086059
2076.968,0.0008628
2080.300,0.00086255
2083.352,0.00086329
2086.444,0.00086255
2089.342,0.00086206
2095.679,0.00086378
2099.093,0.0008628
2102.198,0.00086353
2105.346,0.00086353
2108.345,0.00086451
2111.427,0.00086231
2114.283,0.00086231
2117.349,0.00086084
2120.457,0.00086304
2123.351,0.00086329
2126.360,0.0008628
2129.264,0.00086304
2132.300,0.00086157
2135.348,0.00086182
2138.256,0.00086427
2167.999,0.00086304
2171.654,0.00086402
2174.724,0.00086353
2177.917,0.00086329
2180.990,0.00086255
2184.037,0.00086304
2187.050,0.00086402
2190.241,0.00086525
2220.275,0.00086182
2223.694,0.0008628
2226.684,0.00086231
2229.692,0.00086329
2232.683,0.00086329
2235.628,0.00086304
2238.625,0.00086157
2268.146,0.00085986
2272.026,0.00086231
2275.069,0.00086157
2278.032,0.00086231
2281.150,0.00086329
2284.037,0.00086182
2287.273,0.00086206
2319.111,0.00086206
2322.816,0.00086084
2325.693,0.00086182
2328.687,0.00086329
2332.341,0.00086304
2335.287,0.00086378
2338.297,0.0008628
2367.797,0.00086304
2371.164,0.00086574
2374.044,0.00086476
2377.052,0.00086525
2380.269,0.00086378
2383.347,0.00086378
2386.287,0.00086353
2389.351,0.00086329
2393.323,0.0008628
2396.679,0.00086427
2400.009,0.00086378
2403.003,0.00086451
2406.024,0.00086402
2409.023,0.00086525
2412.027,0.00086476
2415.028,0.0008628
2418.031,0.00086427
2421.341,0.00086402
2424.291,0.00086353
2427.289,0.00086304
2430.411,0.00086353
2433.353,0.00086206
2436.366,0.00086206
2439.346,0.0008628
2469.076,0.00086304
2472.841,0.00086378
2476.037,0.00086427
2479.007,0.00086157
2482.118,0.00086427
2485.030,0.00086304
2488.278,0.00086182
2520.360,0.00086157
2524.058,0.00086353
2527.210,0.00086133
2530.318,0.00086182
2533.288,0.00086182
2536.291,0.00086133
2539.293,0.00086255
2568.752,0.00086329
2572.483,0.0008601
2575.906,0.00086353
2579.018,0.00086255
2582.061,0.00086206
2585.033,0.0008628
2588.035,0.00086182
2617.503,0.00086329
2620.835,0.00086402
2623.867,0.00086157
2626.925,0.000865
2630.184,0.00086255
2633.548,0.0008628
2636.603,0.00086353
2639.603,0.00086598
2669.215,0.00086402
2672.355,0.00086378
2675.348,0.00086353
2678.344,0.000865
2681.427,0.00086451
2684.343,0.00086476
2687.359,0.00086574
2693.446,0.00086451
2697.400,0.00086672
2700.477,0.00086304
2703.289,0.00086427
2706.256,0.00086451
2709.253,0.00086353
2712.264,0.00086451
2715.259,0.00086451
2718.317,0.00086353
2721.307,0.00086402
2724.265,0.00086353
2727.269,0.00086329
2730.331,0.00086451
2733.377,0.00086304
2736.257,0.00086378
2739.254,0.00086525
2768.961,0.00086255
2772.742,0.00086378
2775.986,0.00086427
2779.011,0.000865
2782.021,0.00086378
2785.013,0.00086476
2787.953,0.00086182
2817.682,0.00086378
2821.610,0.00086402
2824.740,0.00086427
2827.693,0.00086402
2830.781,0.00086231
2833.691,0.00086304
2836.685,0.000865
2839.951,0.00086304
2869.454,0.00086255
2873.085,0.00086231
2875.954,0.00086304
2879.402,0.00086108
2882.698,0.00086402
2885.682,0.00086255
2888.608,0.00086182
2920.551,0.00086378
2924.165,0.00086206
2927.273,0.00086378
2930.383,0.00086059
2934.017,0.00086182
2936.934,0.00086035
2940.277,0.00086084
2969.785,0.00086108
2973.437,0.00086304
2976.356,0.00086157
2979.348,0.00086476
2982.453,0.00086255
2985.345,0.00086182
2988.352,0.0008628
2992.961,0.00086304
2996.450,0.00086206
2999.359,0.00086353
3002.359,0.00086182
3005.329,0.00086255
3008.314,0.00086255
3011.324,0.00086255
3014.310,0.00086255
3017.314,0.00086182
3020.560,0.00086108
3023.810,0.00086206
3027.007,0.0008628
3030.275,0.00086206
3033.319,0.0008628
3036.460,0.00086108
3039.245,0.00086353
3069.067,0.00086329
3072.983,0.00086206
3075.982,0.00086255
3078.951,0.00086231
3082.045,0.0008628
3084.886,0.00086353
3087.926,0.00086182
3120.219,0.00086378
3124.018,0.00086378
3127.013,0.00086427
3130.214,0.00086182
3133.291,0.000865
3136.343,0.00086476
3139.347,0.00086427
3168.785,0.000865
3172.266,0.00086451
3175.651,0.00086353
3178.792,0.00086353
3181.844,0.00086402
3184.992,0.000865
3187.984,0.00086451
3217.411,0.00086402
3220.849,0.00086353
3224.044,0.00086549
3227.374,0.00086402
3230.410,0.000865
3234.008,0.00086476
3237.015,0.00086549
3240.270,0.00086402
3269.798,0.00086427
3272.627,0.00086549
3275.624,0.00086476
3278.633,0.00086353
3281.680,0.00086476
3284.630,0.00086427
3287.627,0.00086304
3293.664,0.00086206
3297.627,0.000865
3300.678,0.00086255
3303.602,0.00086549
3306.615,0.0008628
3309.849,0.00086353
3312.597,0.00086353
3315.599,0.00086378
3318.597,0.00086329
3321.615,0.00086157
3324.623,0.0008628
3327.560,0.00086623
3330.598,0.00086255
3333.601,0.00086304
3336.596,0.00086206
3340.032,0.00086304
3370.002,0.00086206
3373.274,0.0008628
3376.292,0.00086402
3379.261,0.00086231
3382.315,0.00086231
3385.302,0.00086182
3388.368,0.00086549
3418.003,0.00086353
3421.720,0.00086206
3424.630,0.0008628
3427.685,0.00086108
3430.730,0.00086231
3433.774,0.0008628
3436.607,0.0008628
3440.010,0.00086182
3469.398,0.0008628
3473.116,0.00086353
3476.052,0.00086182
3479.017,0.00086231
3482.068,0.00086353
3484.944,0.0008628
3488.012,0.00086231
3519.919,0.00086255
3523.241,0.00086182
3526.289,0.00086108
3529.363,0.0008601
3533.012,0.00086231
3536.014,0.00086182
3539.015,0.0008601
3568.475,0.00086084
3572.145,0.00086206
3575.006,0.0008601
3577.949,0.00086084
3581.035,0.00085986
3584.012,0.00086084
3587.021,0.00086133
3590.274,0.00086157
3594.475,0.00086035
3597.266,0.00086255
3600.281,0.00086059
3603.279,0.00086059
3606.267,0.00085986
3609.298,0.00086108
3612.401,0.00085986
3615.265,0.00086035
3618.283,0.00086108
3621.316,0.00086035
3624.614,0.00086157
3627.712,0.00086182
3630.837,0.00086133
3633.979,0.00086182
3636.959,0.00085937
3640.361,0.00086059
3670.382,0.00086035
3673.629,0.00086059
3676.600,0.00086084
3679.690,0.0008601
3682.663,0.00086108
3685.690,0.00086108
3688.551,0.00086035
3720.983,0.00085961
3725.082,0.00085986
3727.951,0.00085912
3731.040,0.0008601
3733.955,0.0008579
3736.958,0.0008579
3740.234,0.00085986
3769.723,0.00086157
3773.171,0.00085912
3776.374,0.00086035
3779.322,0.00085863
3782.428,0.00085814
3785.379,0.00085863
3788.321,0.00086059
3817.767,0.00085839
3821.149,0.00085863
3824.012,0.00085888
3827.010,0.00085888
3830.368,0.0008579
3833.949,0.00085937
3836.958,0.0008601
3840.271,0.0008601
3869.717,0.00086108
3872.606,0.00085961
3875.610,0.00085863
3878.601,0.00086059
3881.598,0.00086157
3884.701,0.0008601
3887.659,0.00086035
3893.742,0.00085839
3897.754,0.00086084
3900.959,0.00085839
3903.960,0.00085888
3906.930,0.00085961
3910.115,0.00085839
3912.936,0.00085863
3915.925,0.00085961
