Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0022241
Sensor,S401C
Sensor SN,1911562
Sensor Type,Thermopile
Wavelength,1030 nm
Range,Auto

Start of Measurement,5/27/2026 17:40:57
Elapsed Time,00:00:19:980
Samples,3454

--Statistics--
Minimum [W],0.0008454
Maximum [W],0.00086819
Mean [W],0.00085666
Standard Deviation [W],3.458E-06
Ratio,1.027 : 1

--Graph Data--
Time (ms),Power (W)
1827.646,0.00085569
1830.643,0.00085569
1860.970,0.00085471
1864.354,0.00085692
1867.357,0.00085422
1870.434,0.00085667
1873.608,0.00085692
1876.710,0.00085692
1879.619,0.00085496
1911.613,0.00085569
1915.405,0.00085349
1918.615,0.00085545
1922.437,0.00085496
1925.580,0.00085545
1928.576,0.00085545
1958.050,0.00085496
1961.441,0.00085398
1965.555,0.00085496
1968.603,0.00085422
1971.615,0.00085422
1974.520,0.00085716
1977.518,0.00085447
1980.501,0.00085594
2010.105,0.00085765
2013.308,0.00085692
2016.285,0.00085545
2019.273,0.00085692
2022.940,0.00085594
2025.803,0.00085594
2028.977,0.00085422
2058.562,0.00085545
2062.089,0.00085667
2065.170,0.00085692
2068.256,0.00085863
2071.342,0.00085692
2074.319,0.00085692
2077.168,0.00085888
2080.233,0.00085765
2086.516,0.00085741
2089.954,0.0008579
2093.046,0.0008579
2095.788,0.00085912
2098.879,0.00085765
2102.116,0.00085716
2105.205,0.00085765
2108.148,0.00085839
2111.237,0.00085716
2114.315,0.00085888
2117.256,0.00085667
2120.230,0.00085765
2123.248,0.00085839
2126.314,0.00085667
2129.214,0.00085569
2159.042,0.00085692
2162.975,0.00085888
2166.382,0.00085643
2169.478,0.00085716
2172.575,0.00085986
2175.553,0.0008579
2178.530,0.0008579
2208.328,0.00085814
2212.253,0.00085814
2215.322,0.00085692
2218.110,0.00085839
2221.333,0.00085814
2224.338,0.00085863
2227.230,0.00085741
2230.239,0.00085716
2259.762,0.00085692
2263.174,0.00085741
2266.918,0.00085594
2269.922,0.0008579
2272.902,0.00085814
2275.919,0.00085741
2278.916,0.00085912
2310.761,0.00085545
2314.182,0.0008579
2317.557,0.00085692
2320.672,0.00085594
2324.130,0.00085643
2327.237,0.00085447
2330.229,0.0008552
2359.844,0.00085765
2363.783,0.00085643
2366.997,0.00085447
2370.137,0.00085692
2373.324,0.00085716
2376.249,0.0008552
2379.232,0.00085667
2383.995,0.00085618
2387.342,0.00085594
2390.326,0.00085569
2393.569,0.00085471
2396.518,0.00085545
2399.640,0.00085545
2402.865,0.00085569
2405.976,0.00085496
2408.980,0.00085471
2412.140,0.00085373
2415.183,0.00085643
2418.320,0.00085471
2421.428,0.00085496
2424.525,0.00085545
2427.512,0.00085471
2430.496,0.00085349
2460.333,0.00085471
2463.966,0.00085324
2467.174,0.00085471
2470.247,0.00085471
2473.340,0.00085398
2476.232,0.0008552
2479.232,0.00085373
2511.336,0.00085618
2515.321,0.00085422
2518.323,0.00085618
2521.322,0.00085496
2524.236,0.00085618
2527.328,0.00085447
2530.238,0.00085373
2559.801,0.00085447
2563.715,0.00085618
2566.640,0.00085447
2569.848,0.00085496
2572.969,0.00085594
2575.922,0.00085545
2578.923,0.00085471
2608.518,0.00085422
2611.762,0.00085177
2614.934,0.00085373
2617.920,0.00085398
2621.181,0.00085545
2624.607,0.00085373
2627.582,0.00085226
2630.586,0.00085201
2660.005,0.00085447
2663.653,0.00085422
2666.591,0.0008552
2669.586,0.00085422
2672.573,0.00085471
2675.590,0.00085349
2678.586,0.00085471
2684.730,0.00085226
2688.255,0.00085398
2691.223,0.00085299
2694.244,0.00085471
2697.358,0.0008552
2702.319,0.00085447
2705.440,0.00085324
2708.584,0.00085226
2711.568,0.00085324
2714.491,0.00085275
2717.641,0.00085373
2720.588,0.00085398
2723.627,0.00085299
2726.568,0.0008525
2729.494,0.00085299
2758.783,0.00085398
2762.658,0.00085275
2765.589,0.00085447
2768.516,0.00085275
2771.838,0.00085349
2774.872,0.00085299
2777.967,0.00085177
2807.409,0.00085226
2811.359,0.00085201
2814.278,0.00085349
2817.294,0.00085324
2820.514,0.00085226
2823.638,0.00085177
2826.792,0.00085275
2829.863,0.00085422
2858.987,0.00085299
2862.867,0.00085373
2866.031,0.00085275
2868.925,0.00085349
2872.024,0.00085226
2874.841,0.00085275
2877.920,0.00085177
2881.118,0.00085324
2912.501,0.00085349
2915.666,0.00085496
2918.593,0.00085398
2922.333,0.00085422
2925.239,0.00085618
2928.150,0.00085299
2957.093,0.00085275
2960.371,0.00085201
2963.739,0.00085275
2967.041,0.00085226
2970.070,0.00085373
2973.600,0.00085447
2976.437,0.0008525
2979.584,0.00085152
2983.560,0.0008525
2986.968,0.00085349
2989.925,0.00085299
2992.909,0.0008552
2996.069,0.00085299
2999.376,0.00085496
3002.639,0.00085447
3005.745,0.00085324
3008.835,0.00085496
3011.986,0.00085447
3014.936,0.00085422
3017.899,0.00085496
3021.158,0.00085447
3024.217,0.00085496
3027.255,0.00085373
3030.250,0.00085447
3059.578,0.00085569
3063.397,0.00085398
3066.588,0.00085398
3069.582,0.00085398
3072.580,0.00085471
3075.608,0.00085398
3078.575,0.00085422
3110.198,0.0008552
3114.037,0.00085324
3117.231,0.00085324
3120.287,0.00085447
3123.375,0.00085275
3126.239,0.00085545
3129.231,0.00085398
3158.131,0.00085569
3161.642,0.00085496
3166.675,0.00085471
3169.498,0.00085373
3172.867,0.00085471
3175.894,0.00085496
3178.897,0.00085594
3207.835,0.00085545
3211.229,0.00085569
3214.179,0.0008552
3217.157,0.00085373
3220.242,0.00085373
3223.972,0.00085569
3226.893,0.00085422
3229.854,0.00085471
3258.873,0.00085692
3262.479,0.00085447
3265.495,0.00085643
3268.492,0.00085667
3271.502,0.00085373
3274.584,0.00085569
3277.585,0.0008552
3280.843,0.0008552
3287.508,0.00085545
3290.880,0.0008552
3293.891,0.0008552
3296.833,0.00085471
3299.897,0.00085496
3302.996,0.00085643
3305.901,0.00085594
3309.018,0.00085692
3312.346,0.00085692
3315.160,0.00085594
3318.241,0.00085594
3321.367,0.0008552
3324.156,0.00085594
3327.231,0.00085471
3330.147,0.0008552
3359.448,0.00085422
3363.232,0.00085373
3366.539,0.00085422
3369.845,0.00085569
3372.976,0.00085545
3376.103,0.00085398
3379.166,0.00085471
3409.106,0.00085569
3412.739,0.00085667
3415.843,0.00085447
3418.826,0.00085618
3421.883,0.00085324
3424.891,0.00085569
3427.895,0.00085545
3457.006,0.00085422
3460.418,0.00085569
3464.168,0.00085447
3467.240,0.00085373
3470.245,0.00085643
3473.348,0.00085545
3476.223,0.00085692
3479.231,0.00085667
3510.508,0.00085349
3513.940,0.00085349
3516.876,0.00085471
3519.944,0.00085545
3523.592,0.00085545
3526.561,0.00085471
3529.590,0.00085398
3558.522,0.0008552
3562.377,0.00085398
3565.169,0.00085422
3568.103,0.00085398
3571.170,0.00085496
3574.171,0.00085177
3577.287,0.00085299
3580.168,0.00085398
3584.114,0.00085299
3587.587,0.00085275
3590.811,0.0008525
3593.904,0.00085471
3596.893,0.00085471
3599.938,0.00085496
3603.007,0.00085643
3605.897,0.00085422
3608.948,0.00085569
3612.003,0.00085201
3614.892,0.00085349
3617.891,0.00085226
3621.092,0.00085275
3624.172,0.00085422
3627.231,0.00085373
3630.239,0.00085496
3659.972,0.00085471
3663.653,0.00085496
3666.707,0.00085398
3669.555,0.00085373
3672.610,0.00085299
3675.494,0.00085226
3678.604,0.00085275
3710.757,0.00085447
3714.689,0.00085398
3717.597,0.00085471
3720.501,0.00085545
3723.495,0.00085545
3726.471,0.00085594
3729.472,0.00085496
3758.845,0.00085594
3762.670,0.00085373
3765.488,0.00085324
3768.561,0.00085275
3771.668,0.00085398
3774.558,0.00085569
3777.841,0.00085349
3807.543,0.00085422
3810.816,0.00085324
3813.832,0.00085349
3816.808,0.00085471
3819.815,0.00085422
3823.427,0.00085324
3826.502,0.00085299
3829.550,0.00085447
3859.080,0.00085373
3862.681,0.00085471
3865.586,0.00085349
3868.584,0.00085299
3871.665,0.00085398
3874.585,0.00085447
3877.547,0.00085496
3880.824,0.00085496
3887.515,0.00085569
3890.483,0.00085471
3893.554,0.00085398
3896.572,0.00085594
3899.561,0.00085447
3902.671,0.00085496
3905.597,0.00085496
3908.740,0.00085447
3911.983,0.00085398
3914.912,0.00085594
3917.895,0.0008552
3921.152,0.00085201
3924.157,0.00085496
3927.120,0.00085349
3930.185,0.00085422
3959.522,0.00085422
3963.463,0.00085398
3966.600,0.00085324
3969.590,0.00085373
3972.948,0.00085422
3975.923,0.00085349
3979.038,0.00085496
4008.250,0.00085471
4012.185,0.00085569
4015.212,0.00085545
4018.328,0.00085545
4021.419,0.00085422
4024.563,0.00085471
4027.555,0.00085447
4030.821,0.00085496
4059.840,0.00085643
4063.573,0.00085496
4066.560,0.00085692
4069.554,0.0008552
4072.667,0.00085839
4075.556,0.00085716
4079.104,0.00085594
4110.548,0.00085667
4114.428,0.00085692
4117.430,0.00085569
4120.473,0.00085447
4123.919,0.00085422
