Arrays for d1:
z1_new (m)	 d1_new_long (m)
7.430000e-03	9.035124e-05
7.440000e-03	9.035124e-05
7.450000e-03	9.035124e-05
7.460000e-03	9.035124e-05
7.470000e-03	9.035124e-05
7.480000e-03	9.035124e-05
7.490000e-03	9.035124e-05
7.500000e-03	9.035124e-05
7.510000e-03	9.035124e-05
7.520000e-03	9.035124e-05
7.530000e-03	9.035124e-05
7.540000e-03	9.035124e-05
7.550000e-03	9.035124e-05
7.560000e-03	9.035124e-05
7.570000e-03	9.035124e-05
7.580000e-03	9.035124e-05
7.590000e-03	9.035124e-05
7.600000e-03	9.035124e-05
7.610000e-03	9.035124e-05
7.620000e-03	9.035124e-05
7.630000e-03	9.035124e-05
7.640000e-03	9.035124e-05
7.650000e-03	9.035124e-05
7.660000e-03	9.035124e-05
7.670000e-03	9.035124e-05
7.680000e-03	9.035124e-05
7.690000e-03	9.035124e-05
7.700000e-03	9.035124e-05
7.710000e-03	9.035124e-05
7.720000e-03	9.035124e-05
7.730000e-03	9.035124e-05
7.740000e-03	9.035124e-05
7.750000e-03	9.035124e-05
7.760000e-03	9.035124e-05
7.770000e-03	9.035124e-05
7.780000e-03	9.035124e-05
7.790000e-03	9.035124e-05
7.800000e-03	9.035124e-05
7.810000e-03	9.035124e-05
7.820000e-03	9.035124e-05
7.830000e-03	9.035124e-05
7.840000e-03	9.035124e-05
7.850000e-03	9.035124e-05
7.860000e-03	9.035124e-05
7.870000e-03	9.035124e-05
7.880000e-03	9.035124e-05
7.890000e-03	9.035124e-05
7.900000e-03	9.035124e-05
7.910000e-03	9.035124e-05
7.920000e-03	9.035124e-05
7.930000e-03	9.035124e-05
7.940000e-03	9.035124e-05
7.950000e-03	9.035124e-05
7.960000e-03	9.035124e-05
7.970000e-03	9.035124e-05
7.980000e-03	9.035124e-05
7.990000e-03	9.035124e-05
8.000000e-03	9.035124e-05
8.010000e-03	9.035124e-05
8.020000e-03	9.035124e-05
8.030000e-03	9.035124e-05
8.040000e-03	9.035124e-05
8.050000e-03	9.035124e-05
8.060000e-03	9.035124e-05
8.070000e-03	9.035124e-05
8.080000e-03	9.035124e-05
8.090000e-03	9.035124e-05
8.100000e-03	9.035124e-05
8.110000e-03	9.035124e-05
8.120000e-03	9.035124e-05
8.130000e-03	9.035124e-05
8.140000e-03	9.035124e-05
8.150000e-03	9.035124e-05
8.160000e-03	9.035124e-05
8.170000e-03	9.035124e-05
8.180000e-03	9.035124e-05
8.190000e-03	9.035124e-05
8.200000e-03	9.035124e-05
8.210000e-03	9.035124e-05
8.220000e-03	9.035124e-05
8.230000e-03	9.035124e-05
8.240000e-03	9.035124e-05
8.250000e-03	9.035124e-05
8.260000e-03	9.035124e-05
8.270000e-03	9.035124e-05
8.280000e-03	9.035124e-05
8.290000e-03	9.035124e-05
8.300000e-03	9.035124e-05
8.310000e-03	9.035124e-05
8.320000e-03	9.035124e-05
8.330000e-03	9.035124e-05
8.340000e-03	9.035124e-05
8.350000e-03	9.035124e-05
8.360000e-03	9.035124e-05
8.370000e-03	9.035124e-05
8.380000e-03	9.035124e-05
8.390000e-03	9.035124e-05
8.400000e-03	9.035124e-05
8.410000e-03	9.035124e-05
8.420000e-03	9.035124e-05
8.430000e-03	9.035124e-05
8.440000e-03	9.035124e-05
8.450000e-03	9.035124e-05
8.460000e-03	9.035124e-05
8.470000e-03	9.035124e-05
8.480000e-03	9.035124e-05
8.490000e-03	9.035124e-05
8.500000e-03	9.035124e-05
8.510000e-03	9.035124e-05
8.520000e-03	9.035124e-05
8.530000e-03	9.035124e-05
8.540000e-03	9.035124e-05
8.550000e-03	9.035124e-05
8.560000e-03	9.035124e-05
8.570000e-03	9.035124e-05
8.580000e-03	9.035124e-05
8.590000e-03	9.035124e-05
8.600000e-03	9.035124e-05
8.610000e-03	9.035124e-05
8.620000e-03	9.035124e-05
8.630000e-03	9.035124e-05
8.640000e-03	9.035124e-05
8.650000e-03	9.035124e-05
8.660000e-03	9.035124e-05
8.670000e-03	9.035124e-05
8.680000e-03	9.035124e-05
8.690000e-03	9.035124e-05
8.700000e-03	9.035124e-05
8.710000e-03	9.035124e-05
8.720000e-03	9.035124e-05
8.730000e-03	9.035124e-05
8.740000e-03	9.035124e-05
8.750000e-03	9.035124e-05
8.760000e-03	9.035124e-05
8.770000e-03	9.035124e-05
8.780000e-03	9.035124e-05
8.790000e-03	9.035124e-05
8.800000e-03	9.035124e-05
8.810000e-03	9.035124e-05
8.820000e-03	9.035124e-05
8.830000e-03	9.035124e-05
8.840000e-03	9.035124e-05
8.850000e-03	9.035124e-05
8.860000e-03	9.035124e-05
8.870000e-03	9.035124e-05
8.880000e-03	9.035124e-05
8.890000e-03	9.035124e-05
8.900000e-03	9.035124e-05
8.910000e-03	9.035124e-05
8.920000e-03	9.035124e-05
8.930000e-03	9.035124e-05
8.940000e-03	9.035124e-05
8.950000e-03	9.035124e-05
8.960000e-03	9.035124e-05
8.970000e-03	9.035124e-05
8.980000e-03	9.035124e-05
8.990000e-03	9.035124e-05
9.000000e-03	9.035124e-05
9.010000e-03	9.035124e-05
9.020000e-03	9.035124e-05
9.030000e-03	9.035124e-05
9.040000e-03	9.035124e-05
9.050000e-03	9.035124e-05
9.060000e-03	9.035124e-05
9.070000e-03	9.035124e-05
9.080000e-03	9.035124e-05
9.090000e-03	9.035124e-05
9.100000e-03	9.035124e-05
9.110000e-03	9.035124e-05
9.120000e-03	9.035124e-05
9.130000e-03	9.035124e-05
9.140000e-03	9.035124e-05
9.150000e-03	9.035124e-05
9.160000e-03	9.035124e-05
9.170000e-03	9.035124e-05
9.180000e-03	9.035124e-05
9.190000e-03	9.035124e-05
9.200000e-03	9.035124e-05
9.210000e-03	9.035124e-05
9.220000e-03	9.035124e-05
9.230000e-03	9.035124e-05
9.240000e-03	9.035124e-05
9.250000e-03	9.035124e-05
9.260000e-03	9.035124e-05
9.270000e-03	9.035124e-05
9.280000e-03	9.035124e-05
9.290000e-03	9.035124e-05
9.300000e-03	9.035124e-05
9.310000e-03	9.035124e-05
9.320000e-03	9.035124e-05
9.330000e-03	9.035124e-05
9.340000e-03	9.035124e-05
9.350000e-03	9.035124e-05
9.360000e-03	9.035124e-05
9.370000e-03	9.035124e-05
9.380000e-03	9.035124e-05
9.390000e-03	9.035124e-05
9.400000e-03	9.035124e-05
9.410000e-03	9.035124e-05
9.420000e-03	9.035124e-05
9.430000e-03	9.035124e-05
9.440000e-03	9.035124e-05
9.450000e-03	9.035124e-05
9.460000e-03	9.035124e-05
9.470000e-03	9.035124e-05
9.480000e-03	9.035124e-05
9.490000e-03	9.035124e-05
9.500000e-03	9.035124e-05
9.510000e-03	9.035124e-05
9.520000e-03	9.035124e-05
9.530000e-03	9.035124e-05
9.540000e-03	9.035124e-05
9.550000e-03	9.035124e-05
9.560000e-03	9.035124e-05
9.570000e-03	9.035124e-05
9.580000e-03	9.035124e-05
9.590000e-03	9.035124e-05
9.600000e-03	9.035124e-05
9.610000e-03	9.035124e-05
9.620000e-03	9.035124e-05
9.630000e-03	9.035124e-05
9.640000e-03	9.035124e-05
9.650000e-03	9.035124e-05
9.660000e-03	9.035124e-05
9.670000e-03	9.035124e-05
9.680000e-03	9.035124e-05
